publish_datetime,publish_date,stock_code,company_name,title,pdf_url,has_xbrl,notes,language,sector,listed_exchange,xbrl_url
2026-01-30 15:40:00,2026-01-30,38410,ジーダット,2026年３月期第３四半期決算短信〔日本基準〕(非連結),https://www.release.tdnet.info/inbs/140120260120536176.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260120536176.zip
2026-01-30 15:40:00,2026-01-30,61040,芝浦機械,2026年3月期第3四半期決算短信〔日本基準〕(連結),https://www.release.tdnet.info/inbs/140120260127538925.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260127538925.zip
2026-01-30 15:40:00,2026-01-30,67770,ｓａｎｔｅｃＨＤ,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,https://www.release.tdnet.info/inbs/140120260129541603.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260129541603.zip
2026-01-30 15:40:00,2026-01-30,67770,ｓａｎｔｅｃＨＤ,2026年３月期　第３四半期決算説明資料,https://www.release.tdnet.info/inbs/140120260129541959.pdf,False,,japanese,,東,
2026-01-30 15:40:00,2026-01-30,67770,ｓａｎｔｅｃＨＤ,2026年３月期連結業績予想の修正および期末配当予想の修正に関するお知らせ,https://www.release.tdnet.info/inbs/140120260129541694.pdf,False,,japanese,,東,
2026-01-30 15:40:00,2026-01-30,67770,ｓａｎｔｅｃＨＤ,当社完全子会社との会社分割（簡易吸収分割・略式吸収分割）に関するお知らせ,https://www.release.tdnet.info/inbs/140120260129541820.pdf,False,,japanese,,東,
2026-01-30 15:40:00,2026-01-30,71020,日車輌,2026年3月期第3四半期決算短信〔日本基準〕（連結）,https://www.release.tdnet.info/inbs/140120260129541708.pdf,True,,japanese,,東名,https://www.release.tdnet.info/inbs/081220260129541708.zip
2026-01-30 15:40:00,2026-01-30,75750,日本ライフライン,2026年３月期　第３四半期決算短信〔日本基準〕（連結）,https://www.release.tdnet.info/inbs/140120260130543024.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260130543024.zip
2026-01-30 15:35:00,2026-01-30,77350,スクリン,2026年3月期 第3四半期決算短信〔日本基準〕（連結）,https://www.release.tdnet.info/inbs/140120260129542330.pdf,True,,japanese,,東,https://www.release.tdnet.info/inbs/081220260129542330.zip
2026-01-30 15:35:00,2026-01-30,77350,スクリン,株式分割および株式分割に伴う定款の一部変更に関するお知らせ,https://www.release.tdnet.info/inbs/140120260129542340.pdf,False,,japanese,,東,
